Gene,Accession
C4orf40,NM_214711
KLRC1,NM_213658
RTN4,NM_207521
SLC27A1,NM_198580
KRT24,NM_019016
CHPF2,NM_019015
POLR1B,NM_019014
FAM64A,NM_019013
PLEKHA5,NM_019012
KRT20,NM_019010
TOLLIP,NM_019009
SMCR7L,NM_019008
ARMCX6,NM_019007
ZFAND6,NM_019006
LRRK2,NM_198578
MIOS,NM_019005
ANKIB1,NM_019004
SPIN2A,NM_019003
ETAA1,NM_019002
XRN1,NM_019001
FAM134B,NM_019000
FAM190B,NM_018999
FBXW5,NM_018998
MRPS21,NM_018997
TNRC6C,NM_018996
AGRN,NM_198576
MOV10L1,NM_018995
FBXO42,NM_018994
RIN2,NM_018993
KCTD5,NM_018992
SASH3,NM_018990
RBM27,NM_018989
GFOD1,NM_018988
SH3TC1,NM_018986
SSH1,NM_018984
GAR1,NM_018983
ENHO,NM_198573
YIPF1,NM_018982
DNAJC10,NM_018981
TAS2R5,NM_018980
WNK1,NM_018979
NLGN3,NM_018977
SLC38A2,NM_018976
TERF2IP,NM_018975
UNC93A,NM_018974
DPM3,NM_018973
GDAP1,NM_018972
SPATC1,NM_198572
GPR27,NM_018971
GPR85,NM_018970
GPR173,NM_018969
SNTG2,NM_018968
SNTG1,NM_018967
TREM2,NM_018965
SLC37A1,NM_018964
BRWD1,NM_018963
DSCR6,NM_018962
UBASH3A,NM_018961
NAT16,NM_198571
GNMT,NM_018960
DAZAP1,NM_018959
C15orf2,NM_018958
SH3BP1,NM_018957
C9orf9,NM_018956
UBB,NM_018955
HOXC5,NM_018953
HOXB6,NM_018952
HOXA10,NM_018951
HLA-F,NM_018950
VWC2,NM_198570
UTS2R,NM_018949
ERRFI1,NM_018948
CYCS,NM_018947
NANS,NM_018946
PDE7B,NM_018945
MIS18A,NM_018944
TUBA8,NM_018943
HMX1,NM_018942
GPR126,NM_198569
CLN8,NM_018941
PCDHB7,NM_018940
PCDHB6,NM_018939
PCDHB4,NM_018938
PCDHB3,NM_018937
PCDHB2,NM_018936
PCDHB15,NM_018935
PCDHB14,NM_018934
PCDHB13,NM_018933
PCDHB12,NM_018932
GJB7,NM_198568
PCDHB11,NM_018931
PCDHB10,NM_018930
PCDHGC5,NM_018929
PCDHGC4,NM_018928
PCDHGB7,NM_018927
PCDHGB6,NM_018926
PCDHGB5,NM_018925
PCDHGB3,NM_018924
PCDHGB2,NM_018923
PCDHGB1,NM_018922
C5orf25,NM_198567
PCDHGA9,NM_018921
PCDHGA7,NM_018920
PCDHGA6,NM_018919
PCDHGA5,NM_018918
PCDHGA4,NM_018917
PCDHGA3,NM_018916
PCDHGA2,NM_018915
PCDHGA11,NM_018914
PCDHGA10,NM_018913
PCDHGA1,NM_018912
RTN4,NM_207520
C5orf34,NM_198566
PCDHA8,NM_018911
PCDHA7,NM_018910
PCDHA6,NM_018909
PCDHA5,NM_018908
PCDHA4,NM_018907
PCDHA3,NM_018906
PCDHA2,NM_018905
PCDHA13,NM_018904
PCDHA12,NM_018903
PCDHA11,NM_018902
LRRC33,NM_198565
PCDHA10,NM_018901
PCDHA1,NM_018900
PCDHAC2,NM_018899
PCDHAC1,NM_018898
DNAH7,NM_018897
CACNA1G,NM_018896
LAMC2,NM_018891
RAC1,NM_018890
ABCB4,NM_018850
ABCB4,NM_018849
DNAH12,NM_198564
MKKS,NM_018848
KLHL9,NM_018847
KLHL7,NM_018846
SLC50A1,NM_018845
BCAP29,NM_018844
SLC25A40,NM_018843
BAIAP2L1,NM_018842
GNG12,NM_018841
C20orf24,NM_018840
NSFL1C,NM_018839
TMEM110,NM_198563
NDUFA12,NM_018838
SULF2,NM_018837
AJAP1,NM_018836
RC3H2,NM_018835
MATR3,NM_018834
TAP2,NM_018833
MYO5C,NM_018728
TRPV1,NM_018727
C3orf62,NM_198562
IL17RB,NM_018725
IL20,NM_018724
RBFOX1,NM_018723
CDCA7L,NM_018719
CEP41,NM_018718
MAML3,NM_018717
RCC2,NM_018715
COG1,NM_018714
SLC30A10,NM_018713
ELMOD1,NM_018712
LHFPL4,NM_198560
SVOP,NM_018711
TMEM55A,NM_018710
FEM1A,NM_018708
DHTKD1,NM_018706
CTTNBP2NL,NM_018704
RBBP6,NM_018703
ADARB2,NM_018702
TRIM36,NM_018700
PRDM5,NM_018699
NXT2,NM_018698
C2orf62,NM_198559
LANCL2,NM_018697
ELAC1,NM_018696
ERBB2IP,NM_018695
ARL6IP4,NM_018694
FAM114A2,NM_018691
APOBR,NM_018690
KIAA1199,NM_018689
BIN3,NM_018688
C19orf80,NM_018687
CMAS,NM_018686
RBM43,NM_198557
ANLN,NM_018685
ZC4H2,NM_018684
RNF114,NM_018683
MLL5,NM_018682
TCP11,NM_018679
ACSS2,NM_018677
THSD1,NM_018676
ABCA5,NM_018672
UNC45A,NM_018671
MESP1,NM_018670
FAM89A,NM_198552
WDR4,NM_018669
VPS33B,NM_018668
SMPD3,NM_018667
SAGE1,NM_018666
DDX43,NM_018665
BATF3,NM_018664
PXMP2,NM_018663
DISC1,NM_018662
DEFB103B,NM_018661
MIA3,NM_198551
ZNF395,NM_018660
CYTL1,NM_018659
KCNJ16,NM_018658
