GeneID,RO1,RO2,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,RO11,RO12
ENSG00000223972.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,18,12,14,28,20,21,24,26,19,29,24,29
ENSG00000278267.1,0,1,2,1,1,0,0,0,1,0,0,2
ENSG00000243485.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,0,1,0,1,0,0,1,2,0,0,1,0
ENSG00000269981.1,0,0,0,1,0,2,4,0,1,0,1,0
ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,0,2,5,2,3,3,1,2,2,1,1,0
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0,0,0,0,1,0,2
ENSG00000279457.4,30,13,38,29,25,34,22,21,24,21,40,33
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,2,0,4,4,1,1,5,3,2,4,3,2
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,0,0,1,0,0,3,0,1,2,2,1,1
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,0,1,1,1,0,0,1,0,0,1,1,3
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,1552,1973,2440,1681,1752,1726,2169,2362,2186,2087,1999,2457
ENSG00000225630.1,828,909,1384,1063,673,868,1383,1467,752,938,1113,1443
ENSG00000237973.1,2586,2786,2307,2361,1994,2934,2405,1998,2087,2729,1639,2236
ENSG00000278791.1,3,1,0,1,1,0,0,0,0,1,1,0
ENSG00000229344.1,23,22,28,23,24,17,26,29,27,28,16,19
ENSG00000240409.1,4,3,6,0,3,1,5,2,0,3,1,1
ENSG00000248527.1,8728,11198,12615,10770,8173,10133,11770,13016,11255,13090,10231,14581
ENSG00000198744.5,32,24,29,18,19,16,24,32,18,29,17,22
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228327.3,12,8,9,13,10,23,9,8,22,11,21,9
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,3,3,5,5,2,3,0,0,0,3,6,4
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,8,12,5,5,2,9,2,1,4,2,0,4
ENSG00000177757.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228794.10,316,302,368,371,312,340,306,326,300,302,432,397
ENSG00000225880.5,31,51,88,80,23,38,56,72,35,39,115,65
ENSG00000288531.1,0,0,0,1,0,1,0,0,0,0,2,0
ENSG00000230368.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,2,1,0,1,3,4,1,2,1,5,2
ENSG00000230699.2,0,0,1,0,0,0,1,0,0,0,1,0
ENSG00000241180.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764.2,3,1,0,0,0,3,0,0,0,0,0,0
ENSG00000187634.13,12,14,4,0,13,18,3,4,7,12,4,5
ENSG00000188976.11,2795,3212,5855,5963,2709,3076,5799,5755,2765,3381,6924,7261
ENSG00000187961.14,122,167,134,141,158,196,155,141,150,136,192,195
ENSG00000187583.11,102,85,45,19,105,74,58,41,137,95,52,52
ENSG00000187642.9,3,1,0,0,3,4,0,0,7,3,0,0
ENSG00000272512.1,6,11,16,26,6,6,15,25,5,9,23,19
ENSG00000188290.11,600,754,584,940,693,573,703,853,627,769,734,986
ENSG00000187608.10,1246,1881,1201,1051,1485,1625,1162,1044,1427,1956,1290,1306
ENSG00000231702.2,0,0,0,0,0,0,1,0,1,1,0,0
ENSG00000224969.1,2,1,3,1,3,2,3,2,0,5,2,0
ENSG00000188157.15,4877,5643,1930,2156,4993,6273,1976,2018,4990,6327,2272,2499
ENSG00000242590.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801.10,184,567,85,260,232,593,91,220,194,575,93,280
ENSG00000273443.1,9,4,4,3,13,3,3,1,18,16,2,3
ENSG00000237330.3,3,1,0,0,9,2,0,1,2,2,0,0
ENSG00000131591.18,396,440,593,628,416,449,640,567,404,496,773,738
ENSG00000285812.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223823.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207730.3,1,1,2,1,0,1,2,0,1,0,2,0
ENSG00000207607.3,0,2,0,1,0,0,0,0,0,1,0,1
ENSG00000198976.1,2,0,0,0,1,0,2,2,0,2,0,3
ENSG00000272141.1,10,4,13,10,6,13,9,4,2,7,12,12
ENSG00000205231.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162571.14,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186891.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186827.11,0,1,1,1,0,0,0,0,0,1,0,4
ENSG00000078808.19,5381,6161,5211,5648,5323,6030,5219,5559,5407,6670,6170,6805
ENSG00000176022.7,704,917,1143,1233,681,933,1191,1124,741,979,1378,1391
ENSG00000184163.3,3,6,7,8,6,4,8,13,5,2,12,9
ENSG00000260179.1,4,0,4,1,1,2,4,3,0,0,5,4
ENSG00000160087.21,1176,1379,1381,1479,1273,1302,1338,1393,1066,1309,1671,1776
ENSG00000230415.1,0,0,0,1,0,1,1,1,2,1,1,0
ENSG00000162572.21,4,6,5,2,4,0,0,3,2,1,0,0
ENSG00000131584.19,192,215,285,278,242,266,293,258,172,287,338,327
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.12,401,470,708,804,423,439,869,733,370,514,943,979
ENSG00000127054.21,1488,1792,1718,1864,1506,1789,1841,1798,1550,1745,2060,2228
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,6,3,4,2,5,7,5,5,2,6,2,4
ENSG00000224051.7,821,893,704,715,867,1016,687,689,776,951,764,765
ENSG00000169962.5,0,1,0,0,1,1,0,1,0,0,1,0
ENSG00000107404.20,2219,2106,2831,3138,2505,2371,2902,2683,2215,2237,3364,3487
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,12,7,6,4,5,2,17,5,26,31,8,15
ENSG00000175756.13,2612,3208,3871,3882,2979,3108,3882,3633,2937,3420,4284,4899
ENSG00000223663.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221978.12,363,402,685,708,346,412,623,680,339,400,726,881
ENSG00000224870.7,325,408,355,368,275,341,311,356,303,353,411,428
ENSG00000242485.6,1498,1788,2153,2141,1554,1595,1802,2213,1607,1874,2356,2597
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,45,60,101,94,51,61,91,80,45,60,99,96
ENSG00000235098.9,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000225905.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205116.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225285.1,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000179403.12,83,131,70,104,110,131,102,71,81,169,102,164
ENSG00000215915.10,0,0,1,0,0,1,0,0,0,0,0,1
ENSG00000160072.20,490,700,2060,2359,456,690,2081,2011,502,691,2338,2856
ENSG00000284740.1,8,9,2,7,5,5,2,1,4,4,3,4
ENSG00000197785.14,665,957,1893,1999,737,942,1729,1729,685,1032,2043,2369
ENSG00000205090.9,2,0,3,4,6,8,15,4,5,5,8,8
ENSG00000160075.12,3082,3563,4282,4123,3469,3244,4425,4134,3176,3497,4630,5016
ENSG00000215014.5,15,23,10,12,26,23,13,19,19,28,9,25
ENSG00000274481.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,0,1,1,2,1,0,1,1,1,2,2,1
ENSG00000286989.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272106.1,229,287,172,188,253,323,166,201,242,300,225,269
ENSG00000197530.12,301,309,246,243,329,336,273,182,304,338,256,250
ENSG00000189409.14,0,0,0,0,1,1,1,0,0,0,0,0
ENSG00000248333.9,656,570,612,591,597,595,550,440,630,561,671,542
ENSG00000272004.1,9,7,4,6,8,13,6,5,4,6,1,4
ENSG00000189339.12,1314,1286,733,838,1234,1447,778,675,1381,1453,1010,1007
ENSG00000269737.2,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215914.4,0,0,0,1,0,0,0,1,0,0,0,0
ENSG00000008128.23,13,11,10,11,11,10,8,14,12,3,17,15
ENSG00000268575.1,30,20,20,18,36,28,22,11,18,26,18,18
ENSG00000227775.3,4,5,2,3,3,5,2,2,8,6,0,1
ENSG00000215790.8,31,35,34,25,28,41,24,19,37,32,28,28
ENSG00000008130.15,1127,1471,1718,1759,1130,1333,1549,1494,1131,1460,1866,2172
ENSG00000078369.18,9980,11887,9639,10130,10264,11983,9443,9769,9472,12015,10556,12223
ENSG00000231050.1,16,16,9,19,18,22,26,18,15,19,15,20
ENSG00000169885.10,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000178821.13,41,62,128,132,40,60,142,143,55,63,177,219
ENSG00000142609.18,2,4,1,1,0,3,1,0,1,0,0,0
ENSG00000233542.2,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000187730.9,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226969.1,8,5,4,3,3,13,1,1,4,5,9,12
ENSG00000067606.17,1006,1083,719,743,1055,998,661,680,1010,1152,879,842
ENSG00000271806.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182873.5,16,7,25,25,11,11,11,12,6,15,22,26
ENSG00000162585.17,1260,1718,1893,2085,1408,1763,2114,2121,1364,2010,2224,2675
ENSG00000234396.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157933.10,1892,3370,2439,4415,1833,3793,2431,3774,1741,3568,2692,4935
ENSG00000287356.1,6,7,2,5,8,8,3,2,6,8,2,2
ENSG00000116151.14,126,129,105,147,114,126,145,111,103,115,168,124
ENSG00000272161.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000269896.2,12,5,15,8,10,9,6,2,7,13,7,6
ENSG00000272420.1,0,0,3,0,0,1,0,2,0,0,0,0
ENSG00000157916.20,3273,4119,2719,2818,3485,3714,2609,2836,3243,3838,3041,3435
ENSG00000157911.11,543,702,550,553,602,620,525,509,557,704,620,584
ENSG00000149527.18,0,2,2,0,1,3,1,0,2,2,0,1
ENSG00000224387.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229393.1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000157881.16,685,675,612,675,766,771,557,605,645,743,723,793
ENSG00000197921.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272449.2,105,123,94,67,111,142,77,59,76,123,86,86
ENSG00000238164.6,65,89,19,17,86,91,18,13,62,73,30,25
